#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:52:30Z,25,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:52:40Z,25,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:52:50Z,25,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:53:00Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:53:10Z,25,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:53:20Z,25,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:53:30Z,33,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:53:40Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:53:50Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:54:00Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:54:10Z,35,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:54:20Z,23,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:54:30Z,33,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:54:40Z,35,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:54:50Z,25,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:55:10Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:55:20Z,25,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:55:30Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:55:40Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:55:50Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:56:00Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:56:10Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:56:20Z,31,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:56:30Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:56:40Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:56:50Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:57:00Z,23,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:57:10Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:57:20Z,25,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:57:30Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:57:40Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:57:50Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:58:00Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:58:10Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:58:20Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:58:30Z,30,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:58:40Z,33,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:58:50Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:59:00Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:59:10Z,33,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:59:20Z,25,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:59:30Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:59:40Z,33,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:59:50Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:00:00Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:00:10Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:00:20Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:00:30Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:00:50Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:01:10Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:01:20Z,26,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:01:30Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:01:40Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:01:50Z,35,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:02:00Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:02:10Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:02:20Z,23,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:02:30Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:02:40Z,30,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:02:50Z,25,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:03:10Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:03:20Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:03:40Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:03:50Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:04:00Z,32,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:04:10Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:04:20Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:04:30Z,33,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:04:40Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:04:50Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:05:00Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:05:10Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:05:20Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:05:30Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:05:40Z,30,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:05:50Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:06:00Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:06:10Z,32,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:06:20Z,23,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:06:30Z,25,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:06:40Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:06:50Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:07:00Z,24,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:07:10Z,25,sensor,humedad
,,0,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T22:07:20Z,25,sensor,humedad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:52:30Z,41,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:52:40Z,32,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:52:50Z,40,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:53:00Z,41,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:53:10Z,34,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:53:20Z,41,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:53:30Z,41,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:53:50Z,41,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:54:00Z,41,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:54:10Z,34,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:54:20Z,42,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:54:30Z,42,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:54:40Z,34,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:54:50Z,41,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:55:10Z,34,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:55:20Z,42,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:55:30Z,42,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:55:40Z,34,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:55:50Z,42,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:56:00Z,34,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:56:10Z,41,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:56:20Z,41,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:56:30Z,34,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:56:40Z,33,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:56:50Z,41,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:57:00Z,33,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:57:10Z,33,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:57:20Z,41,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:57:30Z,32,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:57:40Z,41,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:57:50Z,41,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:58:00Z,33,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:58:10Z,33,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:58:20Z,41,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:58:30Z,34,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:58:40Z,32,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:58:50Z,41,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:59:00Z,41,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:59:10Z,32,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:59:20Z,39,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:59:30Z,39,sensor,luminosidad
,,1,2024-07-27T21:52:24.8327684Z,2024-07-27T22:07:24.8327684Z,2024-07-27T21:59:40Z,31,sensor,luminosidad
